id,class,set
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment76,20th century traditional figure,train
modest_mussorgsky__songs_and_dances_of_death_for_soprano_and_piano_1870s_scorevideosegment17,Romanticism figure,train
scriabin__sonatas5to10segment74,20th century experimental figure,train
_________the_best_of_fairuzsegment76,Asian traditional folklore,train
ravel_complete_piano_musicsegment144,20th century traditional figure,train
the_best_of_rihanna__rihanna_greatest_hits_full_album_2023segment298,Electronic music,train
sergei_prokofiev__sonatasfrom6to9segment86,20th century experimental figure,train
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment65,Romanticism open view,test
tchaikovsky_string_quartetssegment1,Romanticism figure,validation
alban_berg__wozzeck_score_videosegment87,20th century experimental open view,train
js_bach_brandenburg_concertos__1__6_claudio_abbadosegment163,Baroque Classical secular subject,train
anime_opening_music_mix__anime_updating_2023__anime_opening_compilation_2023segment111,Asian traditional folklore,test
medieval_and_renaissance_music_of_spain__musica_medieval_y_renacentista_de_espanasegment18,Renaissance secular subject,train
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment89,20th century traditional figure,train
byrd_bull_morley_etc__english_virginalists_zuzana_ruzickovasegment97,Renaissance secular subject,validation
taiwan__vocal_polyphonies_of_the_aboriginessegment66,Asian traditional folklore,train
gems_of_the_renaissance_musicsegment100,Renaissance secular subject,test
rachmaninov__symphonies_nos123__vocalise__presentation_reference_record__evgeny_svetlanovsegment64,20th century traditional open view,train
discover_dufay__1_hour_of_sacred_chants_and_polyphony_from_the_xvth_centhurysegment83,Renaissance symbolism,train
js_bach_brandenburg_concertos__1__6_claudio_abbadosegment173,Baroque Classical secular subject,test
tchaikovsky_string_quartetssegment16,Romanticism figure,train
ancient_aztec_and_mayan_traditional_music_by_ricardo_lozano_featuring_jorge_ramossegment63,American traditional folklore,train
frederic_chopin__19_nocturnes_rubinsteinsegment87,Romanticism figure,test
dualipa_greatest_hits_full_album_2023__dualipa_best_songs_playlist_2023segment268,Electronic music,test
tool__lateralus_full_album_hqsegment118,Heavy metal,train
charlotte_de_witte_special_megamix_2021__best_songs_of_charlotte_de_wittesegment176,Electronic music,test
machaut__messe_de_notre_dame_ensemble_organumsegment71,Renaissance symbolism,train
brahms_complete_piano_trios__guarneri_trio_praguesegment120,Romanticism figure,train
paul_hindemithquartetsfrom2to6segment72,20th century experimental figure,train
philip_glass__glassworks_completesegment54,20th century abstractionism,train
johannes_ockeghem_c14101497_masses_motets__chansonssegment77,Renaissance symbolism,test
__the_best__of_east_europe_folk_2021segment185,European traditional folklore,train
john_dunstable_c13901453__musician_to_the_plantagenetssegment138,Renaissance symbolism,train
mayan_ambiance_mexican_traditional_musicsegment115,American traditional folklore,train
sister_rosetta_tharpe__the_best_of_vol_1_full_album__album_completsegment19,African traditional folklore,validation
alban_berg__piano_sonata_op_1segment2,20th century experimental figure,train
brahms_variations_on_a_theme_of_paganini_op35_kissinsegment43,Romanticism figure,train
best_h_a_n_s_zimmer_music__most_beautiful_film_music__3_hourssegment24,20th century traditional open view,train
helloween__keeper_of_the_seven_keys_part_1_1987_full_album_with_bonus_trackssegment23,Heavy metal,validation
ensiferum___from_afar_full_albumsegment58,Heavy metal,train
paul_hindemith__flute_sonata1936with_full_scoresegment6,20th century experimental figure,train
traditional_african_music_folk_music_instrumental_for_relaxing_studying__ambiencesegment201,African traditional folklore,train
michaeljackson_greatest_hits_2023__michael_jackson_best_soul_songs_90s__2000s_playlistsegment14,Electronic music,train
discover_dufay__1_hour_of_sacred_chants_and_polyphony_from_the_xvth_centhurysegment46,Renaissance symbolism,train
century_xii_medieval_sacred_songssegment125,Renaissance symbolism,train
stabat_mater__zoltan_kodalysegment8,20th century traditional open view,train
sicilia_musica_della_settimana_santasegment51,European traditional folklore,train
jordi_savall__merula_tarquinio__arie_e_capricci_a_voce_sola__mfiguerassegment94,Baroque Classical secular subject,train
lazar_berman_plays_rachmaninov_moments_musicaux_op16_complete_1975segment10,20th century traditional figure,train
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment394,Romanticism open view,train
aram_khachaturian_gayaneh_1942_rev_1957segment79,20th century traditional open view,train
rage_against_the_machine__the_essential_hitssegment47,Heavy metal,train
richard_strauss__metamorphosensegment47,20th century experimental open view,train
square_pusher__feed_me_weird_things_full_albumsegment147,Electronic music,train
schoenberg_string_quartets1to4segment137,20th century experimental figure,test
best_songs_of_ludovico_einaudi_ludovico_einaudi_greatest_hits_full_album_2021hqsegment191,20th century traditional figure,test
wutang_clan__kassette_klassics__mix_2segment92,Electronic music,train
drumming_pt_isegment32,20th century abstractionism,train
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment227,20th century traditional figure,train
shuar_equateur__indiens_shuar_cayapa_otavalosegment66,American traditional folklore,validation
leadbelly_best_songs___leadbelly_top_hits___leadbelly_full_albumsegment31,African traditional folklore,test
traditional_japanese_music__shamisen_koto__taiko_musicsegment112,Asian traditional folklore,train
messiaen_catalogue_doiseauxsegment24,20th century experimental figure,train
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment20,Baroque Classical symbolism,train
the_best_of_mendelssohnsegment3,Romanticism open view,train
putumayo_presents_congo_to_cuba_official_versionsegment133,Modern instrumental music,train
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment151,American traditional folklore,train
tchaikovsky__piano_concertos_nos123__new_mastering_centurys_rec_emil_gilels_lorin_maazelsegment168,Romanticism open view,train
handel__messiah__by_london_philharmonic_complete_concertofullsegment271,Baroque Classical symbolism,validation
mayan_music_playlist_2_ultra_extendedsegment145,American traditional folklore,train
scriabin__sonatas5to10segment65,20th century experimental figure,validation
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment94,Romanticism open view,train
gilels_beethoven_piano_sonata_no31_in_a_flat_op110segment22,Baroque Classical secular subject,test
camille_saintsaens_clarinet_sonata_op_167_1921segment23,Romanticism figure,test
erich_wolfgang_korngold__symphony_in_fsharp_major_op40_1953segment95,20th century traditional open view,train
monges_de_santo_domingo_de_silos_canto_gregorianosegment132,Renaissance symbolism,test
los_boleros_de_machin__los_34_mejores_boleros_de_antonio_machinsegment138,Modern instrumental music,train
josquin_desprez__motets__chansons__the_hilliard_ensemblesegment75,Renaissance symbolism,train
brahms__symphony_no1_2_3_4_full__classical_music_hdsegment156,Romanticism open view,test
traditional_buddhist_musicsegment69,Asian traditional folklore,train
aram_khachaturian_gayaneh_1942_rev_1957segment52,20th century traditional open view,train
keltia_france_musiques_de_bretagnesegment8,European traditional folklore,test
harry_belafonte__1956_greatest_hits__calypso_full_albumsegment70,African traditional folklore,test
best_songs_of_ludovico_einaudi_ludovico_einaudi_greatest_hits_full_album_2021hqsegment49,20th century traditional figure,test
mussorgsky__boris_godunov_1869__presentation_talvela__reference_recording__jerzy_semkowsegment381,Romanticism open view,train
mauritania__chants_de_femme_1958segment20,African traditional folklore,validation
js_bach_brandenburg_concertos__1__6_claudio_abbadosegment50,Baroque Classical secular subject,train
traditional_buddhist_musicsegment32,Asian traditional folklore,validation
best_songs_of_ludovico_einaudi_ludovico_einaudi_greatest_hits_full_album_2021hqsegment122,20th century traditional figure,train
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment495,20th century traditional figure,train
hayastan__armenian_dancessegment16,European traditional folklore,train
enrique_granados__12_spanish_dances_op37_completesegment49,20th century traditional figure,train
granados__goyescas__larrocha_1963segment44,20th century traditional figure,train
mexican_house_party_1940s_va_full_albumsegment22,Modern instrumental music,train
yurac_malki__viva_inca__music_from_equador_peru_and_bolivia_full_albumsegment114,American traditional folklore,train
johannes_ockeghem_c14101497_masses_motets__chansonssegment78,Renaissance symbolism,train
mamadou_diabate__tunga_full_albumsegment32,African traditional folklore,test
traditional_irish_musicsegment71,European traditional folklore,validation
brahms_complete_piano_quartetssegment132,Romanticism figure,train
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment375,20th century traditional figure,train
stravinsky___the_firebird_fullsegment14,20th century experimental open view,train
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment149,Baroque Classical symbolism,train
mayan_ambiance_mexican_traditional_musicsegment107,American traditional folklore,train
african_folk_music_instrumental__marimba_kalimba__drumssegment83,African traditional folklore,validation
cosmic_baby__stellar_supreme_1992segment1,Electronic music,train
chopin_complete_mazurkas_full_albumsegment21,Romanticism figure,train
clemens_non_papa___missa_pastores_quidnam_vidistis_phillips_vinyl_hana_graham_slee_ctc_301segment50,Renaissance symbolism,train
dr_ludwigs_medieval_german_song_compilationsegment174,Renaissance secular subject,test
bruno_mars__greatest_hits_full_album__best_songs_collection_2023segment206,Electronic music,validation
philip_glass__the_philip_glass_ensemble__music_in_twelve_parts_cd3_full_albumsegment2,20th century abstractionism,validation
igor_stravinksy_18821971__three_pieces_for_string_quartet_1914segment6,20th century experimental figure,train
olivier_messiaen__vingt_regards_sur_lenfantjesus_1944segment183,20th century experimental figure,train
luciano_berio__chemins_iic_audio__full_scoresegment13,20th century abstractionism,validation
scriabin_symphony_no_4_opus_54_le_poeme_de_lextasesegment1,20th century experimental open view,train
richard_strauss__also_sprach_zarathustra_op_30segment35,20th century traditional open view,train
john_mayer_greatest_hits_john_mayer_full_album_2021segment7,Modern instrumental music,train
camelphat___dark_matter_album_mixsegment55,Electronic music,train
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment84,American traditional folklore,train
canzoniere_internazionale__cittadini_e_contadinisegment60,European traditional folklore,train
traditional_japanese_music__shamisen_koto__taiko_musicsegment1,Asian traditional folklore,validation
traditional_japanese_music__shamisen_koto__taiko_musicsegment27,Asian traditional folklore,train
_traditional_folk_songs_of_japansegment132,Asian traditional folklore,train
giovanni_pierluigi_da_palestrina__first_book_of_madrigalssegment40,Renaissance secular subject,train
lazar_berman_plays_rachmaninov_moments_musicaux_op16_complete_1975segment4,20th century traditional figure,validation
steve_reich__electric_counterpoint_fullsegment14,Electronic music,train
nina_simone_greatest_hits_full_album__best_of_nina_simone_2021__nina_simone_jazz_songssegment58,Modern instrumental music,train
______alexander_vertinsky__songs_of_love_russian_chansonsegment16,European traditional folklore,train
schubert__piano_sonata_d960__richter_studiosegment63,Romanticism figure,train
tchaikovsky__piano_concertos_nos123__new_mastering_centurys_rec_emil_gilels_lorin_maazelsegment8,Romanticism open view,train
taiwan__vocal_polyphonies_of_the_aboriginessegment4,Asian traditional folklore,train
shostakovich__the_piano_concertos_nos12_piano_dmitri_shostakovich__ctrc_andre_cluytenssegment42,20th century experimental open view,train
discover_dufay__1_hour_of_sacred_chants_and_polyphony_from_the_xvth_centhurysegment62,Renaissance symbolism,train
jordi_savall__merula_tarquinio__arie_e_capricci_a_voce_sola__mfiguerassegment4,Baroque Classical secular subject,train
greek_folk_music_wedding_songs_1977segment26,European traditional folklore,train
sonny__brownie___sonnys_thingsegment4,African traditional folklore,test
george_gershwin__concerto_in_f_for_piano_and_orchestra_1925_scorevideosegment10,20th century experimental open view,train
best_of_l_i_z_z_o__greatest_hits__best_music_playlist__rap_hip_hop_2022segment102,Electronic music,train
africa__vol_4_mauritanie_guinee_dahomey_cote_divoiresegment16,African traditional folklore,train
rachmaninoff___concerto_no__2___krystian_zimermansegment64,20th century traditional open view,train
azrbaycan__traditional_musicsegment102,European traditional folklore,train
the_beautiful_folk_music_of_england_segment82,European traditional folklore,train
turangalila_symphony__olivier_messiaensegment124,20th century experimental open view,train
schoenberg_string_quartets1to4segment256,20th century experimental figure,train
tchaikovsky_string_quartetssegment178,Romanticism figure,validation
janacek__taras_bulba_rhapsody_for_orchestra_1918segment45,20th century experimental open view,train
bix_beiderbecke__the_art_of_bix_beiderbecke_2006_cd2segment12,Modern instrumental music,train
js_bach_musikalisches_opfer_bwv_1079_le_concert_des_nations__jsavallsegment16,Baroque Classical secular subject,train
leos_janacek__sinfoniettasegment33,20th century experimental open view,test
the_best_of_tallissegment40,Renaissance symbolism,train
1_hour_of_instrumental_opera_masterpieces__by_vincenzo_bellini_e_gioacchino_rossinisegment117,Romanticism open view,train
paul_hindemithquartetsfrom2to6segment88,20th century experimental figure,train
messiaen_catalogue_doiseauxsegment207,20th century experimental figure,train
domenico_scarlatti__sonatas_ivo_pogorelicsegment14,Baroque Classical secular subject,train
schoenberg_string_quartets1to4segment195,20th century experimental figure,train
full_album_megadeth__rust_in_peacesegment78,Heavy metal,validation
luigi_nono__prometeo_tragedia_dellascoltosegment107,20th century abstractionism,train
chopin_complete_sonatas__music_compilationsegment176,Romanticism figure,train
chopin_complete_mazurkas_full_albumsegment227,Romanticism figure,validation
ives__symphony_4_audio__scoresegment13,20th century experimental open view,train
schubert_piano_trios_1__2segment106,Romanticism figure,train
rimskykorsakov__the_golden_cockerel__moscow_po__kitaenkosegment146,20th century traditional open view,train
guano_apes__the_best_ofsegment2,Modern instrumental music,train
ravel_complete_piano_musicsegment166,20th century traditional figure,train
giovanni_gabrieli_15571612_sacrae_symphoniae__canzoni_for_double_choir__brasssegment32,Renaissance symbolism,train
karlheinz_stockhausen__gruppen_audio__full_scoresegment7,20th century abstractionism,train
gaines_de_hyangja_songs_and_dances_of_nepalsegment87,Asian traditional folklore,train
frederic_chopin__19_nocturnes_rubinsteinsegment202,Romanticism figure,train
pierre_boulez__explosantefixe_audio__full_scoresegment68,20th century abstractionism,train
rachmaninoff_etudestableaux_complete_full_album_played_by_zlata_chochievasegment77,20th century traditional figure,train
mauritania__chants_de_femme_1958segment26,African traditional folklore,test
giovanni_gabrieli_15571612_sacrae_symphoniae__canzoni_for_double_choir__brasssegment95,Renaissance symbolism,train
domenico_cimarosa_concerti_sestetti_e_quartetti__larte_dellarcosegment68,Baroque Classical secular subject,train
renaissance_choral_masterpiecessegment152,Renaissance symbolism,train
blacksabbath_greatest_hits_full_album__best_songs_of_blacksabbath_playlist_2021segment93,Heavy metal,train
tarquinio_merula__canzoni_overo_sonate_concertate_per_chiesa_e_camera_book_3_op_12_1637segment51,Baroque Classical secular subject,test
messiaen__quartet_for_the_end_of_time_themes_and_variationssegment3,20th century experimental figure,train
franz_schubert_symphony_no8_unfinished_d_759_leonard_bernsteinsegment23,Romanticism open view,train
_qawwali__sufi_music_from_pakistansegment59,Asian traditional folklore,train
anton_webern__variations_for_orchestra_op_30_1940segment13,20th century experimental open view,train
brahms__symphony_no1_2_3_4_full__classical_music_hdsegment197,Romanticism open view,train
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment35,Baroque Classical symbolism,train
paco_de_lucia_exitos__best_songs_of_paco_de_lucia_2020segment64,European traditional folklore,train
chad_music_from_tibestisegment115,African traditional folklore,train
scandinavian_folk_music____best_scandinavian_traditional_musicsegment81,European traditional folklore,train
bruno_maderna_concerto_per_oboe_e_orchestra_no1_19621963segment1,20th century abstractionism,test
direstraits_greatest_hits_full_playlist_2021__best_songs_of_direstraits_all_timesegment61,Modern instrumental music,test
la_morte_dei_miracoli__frankie_hinrg_mc_1997_full_album__bonus_tracksegment82,Electronic music,train
johannes_ockeghem_c14101497_masses_motets__chansonssegment56,Renaissance symbolism,train
bruckner_te_deum_wab_45_karajansegment44,Romanticism open view,train
the_chicago_klezmer_ensemble__sweet_home_bukovina_full_albumsegment106,Asian traditional folklore,test
planet_funk__2020_full_album_continuous_mixsegment51,Electronic music,train
slayer__seasons_in_the_abyss_full_album_hqsegment56,Heavy metal,train
andean_folklore_music_mix_musical_instrument_from_south_america_quena_and_samponasegment43,American traditional folklore,train
death__the_sound_of_perseverance_reissue_full_album_streamsegment27,Heavy metal,train
mozart__requiem_in_d_minor_completefull_hdsegment30,Baroque Classical symbolism,train
mussorgsky__boris_godunov_1869__presentation_talvela__reference_recording__jerzy_semkowsegment47,Romanticism open view,validation
amaral___estrella_de_mar_segment46,Electronic music,test
renaissance_dance_bands_15511599_tylman_susato__thomas_morley_centurys_recording_david_munrowsegment58,Renaissance secular subject,train
fiesta_en_el_palacio_de_alfonso_el_sabiosegment18,Renaissance secular subject,train
shuar_equateur__indiens_shuar_cayapa_otavalosegment28,American traditional folklore,validation
arcangelo_corelli_16531713__sonate_da_chiesasegment186,Baroque Classical symbolism,train
n_i_g_h_t_w_i_s_h_greatest_hits_full_album__best_songs_of_n_i_g_h_t_w_i_s_h_playlist_2021segment94,Heavy metal,train
sacred_spirit_chants_and_dances_of_the_native_americans_vol_1_full_album___10youtube_comsegment1,American traditional folklore,test
bach_the_goldberg_variations_bwv_988_recorded1981__glenn_gould_432hzsegment68,Baroque Classical secular subject,train
chopin_24_preludes_op28_blechaczsegment32,Romanticism figure,train
igor_stravinsky__piano_sonata_in_fsharp_minorsegment1,20th century traditional figure,validation
shuar_equateur__indiens_shuar_cayapa_otavalosegment22,American traditional folklore,test
fabric_91__nina_kraviz_2016_full_mix_albumsegment72,Electronic music,train
mussorgsky__boris_godunov_1869__presentation_talvela__reference_recording__jerzy_semkowsegment433,Romanticism open view,train
_guan_pinghu__segment4,Asian traditional folklore,train
elektra_op58__by_r_strauss_audio__sheet_musicsegment179,20th century experimental open view,test
philip_glass__dance_nos_15__hqsegment144,Electronic music,train
los_calchakis__flutes_des_terres_incas_1985segment58,American traditional folklore,train
taylor_swift_greatest_hits_full_album_2023__taylor_swift_best_songs_playlist_2023segment107,Modern instrumental music,train
les_touareg__avec_les_seigneurs_des_sables__tassili_iforas_hoggarsegment54,African traditional folklore,train
guillaume_dufay_13971474_secular__sacred_music_for_voices__instrumentssegment30,Renaissance secular subject,train
african_folk_music_instrumental__marimba_kalimba__drumssegment117,African traditional folklore,train
modest_mussorgsky__songs_and_dances_of_death_for_soprano_and_piano_1870s_scorevideosegment28,Romanticism figure,test
manowar_greatest_hitssegment107,Heavy metal,train
traditional_african_music_folk_music_instrumental_for_relaxing_studying__ambiencesegment8,African traditional folklore,train
richard_strauss__also_sprach_zarathustra_op_30segment61,20th century traditional open view,train
krzysztof_penderecki__st_luke_passion_1966segment51,20th century abstractionism,train
architects_the_classic_symptoms_of_a_broken_spirit_2022_full_albumsegment19,Heavy metal,train
nyman_string_quartet_no_1__fig_csegment3,20th century abstractionism,train
java__gamelans_from_the_sultans_palace_in_jogjakartasegment110,Asian traditional folklore,train
the_best_song_of_richard_wagner___richard_wagne_top_hit_collectionsegment165,Romanticism open view,validation
igor_stravinsky__piano_sonata_in_fsharp_minorsegment14,20th century traditional figure,train
manu_chao_sus_mejores_exitos__manu_chao_30_grandes_exitossegment93,African traditional folklore,train
childish_gambino__royalty_full_mixtape_albumsegment64,Electronic music,train
grieg_complete_lyrical_piecessegment68,20th century traditional figure,validation
gyorgy_kurtag_kafka_fragments_op_24_audrey_luna_and_harvey_thurmersegment5,20th century abstractionism,train
the_best_music_of_carl_philipp_emanuel_bachsegment109,Baroque Classical secular subject,validation
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment670,20th century traditional figure,train
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment453,20th century traditional figure,train
dualipa_greatest_hits_full_album_2023__dualipa_best_songs_playlist_2023segment418,Electronic music,train
Jean_Michel_Jarre__The_Best_Hit_Collections_Disc_12_full_albumsegment75,Electronic music,train
paul_hindemithquartetsfrom2to6segment184,20th century experimental figure,train
ludwig_van_beethoven__violin_sonata_no_9_kreutzersegment30,Baroque Classical secular subject,train
king_oliver_and_his_dixie_syncopatorssegment112,Modern instrumental music,test
traditional_african_music_compilation_african_tribal_music__african_melodiessegment10,African traditional folklore,train
pierre_schaeffer__le_triedre_fertile_1978_full_album_2012_reissuesegment32,Electronic music,validation
the_inca_harp_laments_and_dances_of_the_tawantinsuyu_the_inca_empire_lyrichord_1980_llst_7359segment58,American traditional folklore,train
apparitions_for_orchestra__gyorgy_ligetisegment14,20th century abstractionism,train
elektra_op58__by_r_strauss_audio__sheet_musicsegment188,20th century experimental open view,train
nikolai_rimskykorsakov__symphony_no3_in_cmajor_op32_1873segment49,20th century traditional open view,train
sacred_music_of_the_renaissancesegment88,Renaissance symbolism,train
the_beautiful_folk_music_of_england_segment84,European traditional folklore,train
handel_water_musicsegment28,Baroque Classical secular subject,train
odetta__sometimes_i_feel_like_cryin_full_vinyl_lpsegment57,African traditional folklore,validation
tchaikovsky_string_quartetssegment124,Romanticism figure,train
african_folk_music_instrumental__marimba_kalimba__drumssegment42,African traditional folklore,train
paul_dukas__piano_sonata_1900_duchablesegment34,20th century traditional figure,train
cpebach_magnificat_in_d_major_wq_215_h772segment15,Baroque Classical symbolism,train
claude_debussy__pelleas_et_melisande_with_scoresegment166,20th century traditional open view,train
traditional_japanese_folk_and_work_songssegment6,Asian traditional folklore,train
bach_the_welltempered_clavier_book_1_harpsichord_pierre_hantaisegment208,Baroque Classical secular subject,train
_________ukrainian_folk_musicsegment42,European traditional folklore,train
dmitri_shostakovich__24_preludes_and_fugues_op_87segment198,20th century traditional figure,train
putumayo_presents_congo_to_cuba_official_versionsegment34,Modern instrumental music,train
gems_of_the_renaissance_musicsegment23,Renaissance secular subject,train
1_hour__mix_of_the_most_beautiful_native_american_musicsegment112,American traditional folklore,train
traditional_buddhist_musicsegment125,Asian traditional folklore,train
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment32,Baroque Classical symbolism,train
carlo_gesualdo__madrigals_book_6segment61,Renaissance secular subject,test
pandit_ram_chatur_mallick__north_indiasegment74,Asian traditional folklore,validation
manuel_de_falla__el_amor_brujo_marina_de_gabarain__refrecord_ernest_ansermet__remasteredsegment3,20th century traditional open view,train
olivier_messiaen__vingt_regards_sur_lenfantjesus_1944segment81,20th century experimental figure,validation
best_of_metallica__metallica_greatest_hits_full_albumsegment219,Heavy metal,train
architects__holy_hell_full_album__2018segment43,Heavy metal,train
sister_rosetta_tharpe__the_best_of_vol_1_full_album__album_completsegment79,African traditional folklore,train
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment476,20th century traditional figure,test
java__gamelans_from_the_sultans_palace_in_jogjakartasegment36,Asian traditional folklore,train
devildriver__the_fury_of_our_makers_hand_full_albumsegment6,Heavy metal,train
pierre_boulez__explosantefixe_audio__full_scoresegment11,20th century abstractionism,train
gems_of_the_renaissance_musicsegment6,Renaissance secular subject,train
brahms__symphony_no1_2_3_4_full__classical_music_hdsegment138,Romanticism open view,train
gems_of_the_renaissance_musicsegment31,Renaissance secular subject,train
shostakovich__the_piano_concertos_nos12_piano_dmitri_shostakovich__ctrc_andre_cluytenssegment5,20th century experimental open view,train
josquin_desprez__motets__chansons__the_hilliard_ensemblesegment15,Renaissance symbolism,train
sibelius__finlandia_karelia_suite_valse_triste___presentat_cent_rec__sir_john_barbirollisegment52,20th century traditional open view,train
handel__messiah__by_london_philharmonic_complete_concertofullsegment270,Baroque Classical symbolism,train
chopin_4_impromptus_op29_36_51_66_kissinsegment46,Romanticism figure,train
te_deumsegment17,20th century abstractionism,train
azrbaycan__traditional_musicsegment117,European traditional folklore,train
igor_stravinsky__the_rite_of_spring_1913segment55,20th century experimental open view,train
chopin_etudes_op10_and_op25_fialkowskasegment35,Romanticism figure,train
dream_theater__awake_full_album_1994segment51,Heavy metal,validation
glass_complete_piano_etudessegment286,20th century abstractionism,train
adrian_willaert_and_his_circle_ricercari_da_musica_novasegment38,Renaissance secular subject,train
bach_mass_in_b_minor_bwv_232__karl_richtersegment23,Baroque Classical symbolism,train
krzysztof_penderecki__complete_cello_concertossegment53,20th century abstractionism,train
string_trio_i_allegro_moltosegment2,20th century abstractionism,train
jordi_savall__jeanbaptiste_lully__lorchestre_du_roi_soleilsegment51,Baroque Classical secular subject,train
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment87,Baroque Classical symbolism,train
js_bach_brandenburg_concertos__1__6_claudio_abbadosegment161,Baroque Classical secular subject,train
scriabin_mazurkas_poemes__impromtusop40toop73segment11,20th century experimental figure,test
albeniz_by_alicia_de_larrocha__iberia_suite_espanola_tango_navarra__centurys_record_1962segment23,20th century traditional figure,train
the_best_song_of_richard_wagner___richard_wagne_top_hit_collectionsegment374,Romanticism open view,test
chopin_complete_sonatas__music_compilationsegment80,Romanticism figure,train
tangerine_dream__mala_kuniasegment86,Electronic music,train
yurac_malki__viva_inca__music_from_equador_peru_and_bolivia_full_albumsegment86,American traditional folklore,train
the_best_of_rihanna__rihanna_greatest_hits_full_album_2023segment24,Electronic music,train
jsbach_complete_orchestralsuites__oklemperer_newphilharmoniao__1969segment45,Baroque Classical secular subject,train
le_50_migliori_canzoni_di_elodie__elodie_greatest_hit_2022segment84,Electronic music,train
anton_bruckner__symphony_no7_in_e_major__herbert_von_karajan_wiener_philharmoniker_1989segment93,Romanticism open view,train
le_migliori_canzoni_di_ennio_morricone__i_successi_di_ennio_morricone__ennio_morricone_songssegment163,20th century traditional open view,train
malaysia_traditional_music_of_west_malaysiasegment30,Asian traditional folklore,train
domenico_scarlatti__sonatas_ivo_pogorelicsegment41,Baroque Classical secular subject,train
monteverdi_choral_masterworkssegment23,Renaissance symbolism,test
paul_dukas__symphony_in_c_1896segment2,20th century traditional open view,validation
scriabin_symphony_no_4_opus_54_le_poeme_de_lextasesegment14,20th century experimental open view,train
scandinavian_folk_music____best_scandinavian_traditional_musicsegment43,European traditional folklore,train
shostakovich__symphony__10_in_e_minor_op__93_scoresegment73,20th century experimental open view,train
canzoniere_internazionale__cittadini_e_contadinisegment17,European traditional folklore,train
scandinavian_folk_music____best_scandinavian_traditional_musicsegment79,European traditional folklore,train
willie_nelson_greatest_hits_full_album__best_country_music_of_willie_nelson_essential_songssegment84,Modern instrumental music,train
_traditional_folk_songs_of_japansegment35,Asian traditional folklore,train
mozart__requiem_in_d_minor_completefull_hdsegment17,Baroque Classical symbolism,train
paul_hindemith_ludus_tonalissegment155,20th century experimental figure,validation
richard_strauss__metamorphosensegment1,20th century experimental open view,train
paul_hindemithquartetsfrom2to6segment24,20th century experimental figure,train
andina_inca_music_from_ecuadorsegment16,American traditional folklore,train
gyorgy_kurtag_jatekok__book_2_completesegment58,20th century abstractionism,train
handel_9_suitessegment17,Baroque Classical secular subject,train
elektra_op58__by_r_strauss_audio__sheet_musicsegment16,20th century experimental open view,train
1_hour__mix_of_the_most_beautiful_native_american_musicsegment75,American traditional folklore,train
turangalila_symphony__olivier_messiaensegment59,20th century experimental open view,train
the_best_of_webersegment17,Romanticism open view,train
megadeth__the_sick_the_dying_and_the_dead_full_album_2022segment16,Heavy metal,train
ives__piano_sonata_no2_concord_mass_184060segment43,20th century experimental figure,train
igor_stravinsky___symphonies_of_wind_instruments_with_scoresegment7,20th century experimental open view,train
r_a_m_m_s_t_e_i_n_greatest_hits_full_album__best_songs_of_r_a_m_m_s_t_e_i_n_playlist_2021segment50,Heavy metal,train
aztec_music__musica_prehispanica_vol1__fiesta__sacrificio__guerra__ritos__cinematic_deliriumsegment27,American traditional folklore,train
philip_glass__the_photographer_full_albumsegment57,20th century abstractionism,train
brahms_complete_piano_quartetssegment224,Romanticism figure,train
elektra_op58__by_r_strauss_audio__sheet_musicsegment152,20th century experimental open view,train
shostakovich__symphony__10_in_e_minor_op__93_scoresegment93,20th century experimental open view,train
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment156,Romanticism open view,train
orlande_de_lassus__motets__chansonse__the_hilliard_ensemblesegment63,Renaissance symbolism,train
terry_riley__rainbow_in_colognesegment210,Electronic music,train
joseph_haydn__the_creationsegment145,Baroque Classical symbolism,validation
js_bach__passione_secondo_matteo_bwv_244segment76,Baroque Classical symbolism,train
the_best_of_m_i_l_e_s_davis__m_i_l_e_s_davis_greatest_hits__jazz_nightsegment14,Modern instrumental music,train
