id,class,set
carlosmerida25,American traditional folklore,train
jimmyortiz8,American traditional folklore,train
vincentvangogh762,Romanticism figure,train
hieronymusbosch80,Renaissance symbolism,train
jacqueslouisdavid50,Baroque Classical symbolism,test
lucianfreudmaninaheadscarfalsoknownastheprocurer,20th century traditional figure,validation
paulklee169,20th century abstractionism,train
leonardodavinci106,Renaissance secular subject,train
caravaggio43,Baroque Classical symbolism,test
mauriceprendergastthecove2,20th century experimental open view,train
zdzislawbeksinski183,Heavy metal,train
nicholasroerichlahaul1947,20th century traditional open view,train
alfredsisley253,Romanticism open view,train
francescoguardisancristoforosanmicheleandmuranoseenfromthefondamentanuove1760,Baroque Classical secular subject,train
sandrobotticelli11,Renaissance symbolism,train
stuartdavis8,Modern instrumental music,validation
duccio71,Renaissance symbolism,train
janvaneyck4,Renaissance symbolism,train
jesusmenesesdelbarco14,20th century traditional open view,train
nzantespee3,African traditional folklore,train
utagawakuniyoshitheghostoftairatomomori,Asian traditional folklore,train
duccio38,Renaissance symbolism,validation
georgesseurat17,Romanticism open view,validation
giuseppe_barberis6,European traditional folklore,train
edgardegas616,20th century traditional open view,train
keisaieisenno15itahanafromtheseriesthesixtyninestationsofthekisokaidroadkisokaidrokujky1838,Asian traditional folklore,train
paulgauguin246,20th century traditional open view,train
kazimirmalevich71,20th century abstractionism,train
ramonoviedo21,American traditional folklore,train
marcchagall233,European traditional folklore,train
rosemarykaruga13,African traditional folklore,train
mauriceprendergastthestonybeachogunquit,20th century experimental open view,train
pompeobatoni19,Baroque Classical symbolism,train
walterbattiss59,African traditional folklore,validation
antoniopaoletti3,European traditional folklore,train
d02629a0daf7d9a87d5d6dd6128ff39fc,European traditional folklore,train
mceschernotdetected204713,20th century experimental open view,train
joepetagnoetal10,Heavy metal,train
renemagritte126,20th century experimental figure,train
pinturicchio1,Renaissance secular subject,train
rembrandt63,Baroque Classical secular subject,validation
angelodesousasculptureinfrontofburgoempreendimento,Electronic music,test
twinsevenseven26,African traditional folklore,train
josevillegascorderoetal5,European traditional folklore,train
anthonyvandycktheassumptionofthevirgin1627,Baroque Classical symbolism,validation
jansteendancingcouple1663,Baroque Classical secular subject,train
janvaneyck62,Renaissance symbolism,train
williamturner13,Romanticism open view,train
pieterbruegel21,Renaissance symbolism,train
rembrandt110,Baroque Classical secular subject,validation
joansnyderperpetuoeternally2004,20th century abstractionism,train
jackvettrianoetal1,Modern instrumental music,train
sandrobotticelli16,Renaissance secular subject,validation
martirossaryanpoppies19581,20th century traditional figure,train
vincentvangogh442,Romanticism figure,train
markopogacnikuntitled4,Electronic music,train
robertmangoldgreencolumnfigure2003,Electronic music,train
maudlewis12,Modern instrumental music,train
frankstellatalladegathreeiifromthecircuitsseries1982,20th century abstractionism,train
vincentvangogh317,Romanticism open view,train
albrechtduerer211,Renaissance secular subject,train
williamholmanhunt2,European traditional folklore,validation
lallaessaydi4,African traditional folklore,train
jeanmichelbasquiat129,Modern instrumental music,test
odilonredononneschristandtheserpent1907,20th century abstractionism,test
samfrancissculpturedrawingsf645711964,20th century abstractionism,train
rembrandt85,Baroque Classical symbolism,validation
amedeomodigliani88,20th century traditional figure,train
diegorivera19,Modern instrumental music,validation
norvalmorrisseau75,American traditional folklore,train
albertogironella1,American traditional folklore,validation
a315672960bc30fa9047e37addaa8d97c,Heavy metal,train
benjaminwest36,Baroque Classical symbolism,train
alfredsisley179,Romanticism open view,train
zdzislawbeksinski26,Heavy metal,train
gustavklimt59,20th century experimental figure,train
franciscogoya157,Romanticism figure,train
vincentvangogh473,Romanticism figure,train
pablopicasso344,20th century abstractionism,train
3ec9630d271880eb6bdf462ca419f6cdc,Heavy metal,train
pierreaugusterenoir23,20th century traditional open view,train
giottodibondone9,Renaissance symbolism,train
pieterbruegel59,Renaissance secular subject,train
joseclementeorozco19,American traditional folklore,train
duccio91,Renaissance symbolism,train
97d2949555097c261fa9d6ce929b0a53c,Electronic music,train
mahmoudsaiid40,African traditional folklore,train
ancientegipt134,African traditional folklore,train
sirlawrencealmatademaaforegoneconclusion1885,Romanticism figure,validation
salvadordaliportraitofstjerome,20th century abstractionism,train
sirlawrencealmatademaleavingchurchinthefifteenthcentury1864,Romanticism figure,train
edgardegas285,Romanticism figure,train
alfredsisley259,Romanticism open view,train
albrechtduerer52,Renaissance symbolism,validation
billantonetal13,Modern instrumental music,train
oskarkokoschkanotdetected235835,20th century experimental open view,validation
alfredsisley243,Romanticism open view,train
fridakahlo27,Modern instrumental music,train
utagawatoyokuniiiinteriorofatheatre,Asian traditional folklore,train
nicholasroerichdograyumtso1932,20th century traditional open view,train
williamturner43,Romanticism open view,train
duccio21,Renaissance symbolism,train
zdzislawbeksinski146,Heavy metal,train
giovanni_segantini3,European traditional folklore,validation
paolouccello6,Renaissance secular subject,train
bprabhaetal5,Asian traditional folklore,test
paulbrilthestaghunt1595,Baroque Classical secular subject,train
edgardegas557,Romanticism figure,train
zdzislawbeksinski34,Heavy metal,train
ivanrutkovych7,Baroque Classical symbolism,train
julioromerodetorres2,European traditional folklore,train
renemagritte90,20th century experimental open view,train
sandrobotticelli109,Renaissance symbolism,train
wagons1921jpglarge,American traditional folklore,test
travissmithetal7,Heavy metal,train
paulklee84,20th century abstractionism,train
renemagritte103,20th century experimental open view,train
mikhailvrubel2,20th century traditional open view,validation
njidekaakunyilicrosby18,African traditional folklore,test
pablopicasso231,20th century experimental figure,train
claudemonet51,20th century traditional figure,train
samfrancisuntitledexpsf5808821982,20th century abstractionism,train
pablopicasso104,20th century experimental figure,validation
nicholasroerichpskov1922,20th century traditional open view,train
renemagritte9,20th century abstractionism,train
martirossaryanportraitofactressannahumashyan1923,20th century traditional figure,test
claudemonet25,20th century traditional open view,train
din1969,Electronic music,train
diegomanuelrodriguezetal2,Modern instrumental music,train
ef54f9a4bc5926ee9b89a0952f24576dc,Heavy metal,train
bcc2ac5caa366ff4e228f80fef62315ec,Heavy metal,train
516b8d24f5c58833da5f23d1ecc43dacc,Electronic music,train
e4defdb84559aca91dc481f62cc034a0c,Heavy metal,train
lucianfreudwomanwithanarmtattoo,20th century traditional figure,train
nicholasroerichbridgeofglory1923,20th century experimental open view,train
joanmironotdetected227952,20th century abstractionism,train
bricemardenavrutun1971,Electronic music,train
ernstludwigkirchnertrainsgorgenearmonstein1920,20th century experimental open view,test
jeanmichelbasquiat31,Modern instrumental music,train
janvaneyck21,Renaissance symbolism,train
walterbattiss24,African traditional folklore,test
50111jp,Asian traditional folklore,train
edgardegas603,20th century traditional figure,train
pieterbruegel68,Renaissance secular subject,train
rajaravivarma9,Asian traditional folklore,train
titian139,Renaissance symbolism,test
franciscogoya118,Romanticism figure,train
lallaessaydi63,African traditional folklore,train
gustaveloiseau38,20th century experimental open view,train
edgardegas645,20th century traditional figure,train
aef293015a6df07974115cd998e8c8cec,Electronic music,validation
pekkahalonen5,20th century experimental open view,train
albrechtduerer315,Renaissance secular subject,train
diegovelazquez4,Baroque Classical secular subject,train
giovanni_nino_costa11,European traditional folklore,train
paulcezanne37,20th century traditional figure,train
taroyamamotountitled1974,20th century abstractionism,train
edgardegas231,Romanticism figure,train
3e0d21992819e6d396c5fb5d46e95821c,Heavy metal,train
angelodesousaunknowntitle1966,Electronic music,train
odilonredontwotrees1875,20th century experimental open view,train
odilonredonwomanwithpillarofflowers1903,20th century experimental figure,validation
konstantinmakovskygipsy1,Romanticism figure,train
martirossaryaninthegroveinsambek1909,20th century experimental open view,train
valerioadamireading1984,Electronic music,train
rembrandt175,Baroque Classical symbolism,train
yvesgauchercdrgrbi1988,Electronic music,train
alfredsisley176,Romanticism open view,train
williamturner55,Romanticism open view,train
richardtuttletwowithany211999,20th century abstractionism,validation
nicholasroerichsaintgenevieve1933,20th century traditional open view,train
robertnickleuntitled1974,20th century abstractionism,train
burhandogancayistanbul1990,Electronic music,train
jacoblawrence7,African traditional folklore,train
496c74ae509d110542c122cf7c6fdd4ec,Heavy metal,train
lallaessaydi22,African traditional folklore,train
giottodibondone41,Renaissance symbolism,train
pablopicasso101,20th century experimental figure,train
mariaprimachenkoigivemylittlestarstochildren1983,European traditional folklore,train
vincentvangogh112,Romanticism figure,validation
leonardodavinci17,Renaissance secular subject,train
johnsingersargent87,20th century experimental open view,train
kazimirmalevich85,20th century abstractionism,train
danchristensenswinglow1988,20th century abstractionism,test
titian37,Renaissance symbolism,train
raphael37,Renaissance symbolism,train
hieronymusbosch105,Renaissance symbolism,train
15c660689381e46edc87dfe7d64f67d1c,Heavy metal,train
horacepippinbirminghammeetinghouseiii1941,Modern instrumental music,train
franciscogoya3,Romanticism figure,train
thomashartbenton22,Modern instrumental music,train
balthus11,Modern instrumental music,train
gustavecourbet51,Romanticism figure,train
richardserrachunk1967,Electronic music,train
ancientegipt39,African traditional folklore,train
njidekaakunyilicrosby1_2,Electronic music,train
oskarkokoschkanotdetected235839,20th century experimental figure,test
yovkondzelevych8,Baroque Classical symbolism,train
sandrobotticelli25,Renaissance secular subject,train
willemdekooningfireisland,20th century abstractionism,train
paulklee15,20th century abstractionism,train
albrechtduerer280,Renaissance secular subject,train
vincentvangogh545,Romanticism figure,train
raphaelkirchnervienneseblood3,20th century experimental figure,train
claudemonet24,20th century traditional open view,train
edgardegas672,Romanticism figure,train
johnconstable2,Romanticism open view,train
njidekaakunyilicrosby40,African traditional folklore,test
vincentvangogh736,Romanticism open view,train
abdulmatiklarwein49,Electronic music,train
marjoriestridergirlwithpearl2010,Electronic music,validation
jesusmenesesdelbarco7,20th century traditional open view,train
caspardavidfriedrich93,Romanticism open view,train
theodorphilipsen12,20th century traditional open view,train
utagawakuniyoshistringsfornightfiring,Asian traditional folklore,train
norvalmorrisseau21,American traditional folklore,test
92752029d2125ac7f300af723e874eaac,Modern instrumental music,train
paulgauguin117,20th century experimental figure,train
barringtonwatson28,African traditional folklore,train
mikhailvrubel14,20th century experimental figure,test
titian90,Renaissance secular subject,validation
pablopicasso97,20th century experimental figure,train
mauricedevlamincktheseineatchatou1,20th century experimental open view,train
georgesseurat20,Romanticism open view,train
jeanmichelbasquiat146,Modern instrumental music,train
titian262,Renaissance secular subject,train
caspardavidfriedrich110,Romanticism open view,train
giuseppemariacrespi31,Baroque Classical secular subject,train
edgardegas686,20th century traditional figure,train
jesus_meneses_del_barco2,European traditional folklore,test
patrickcaulfieldhemingwayneveratehere1999,Modern instrumental music,train
giottodibondone50,Renaissance symbolism,train
edgardegas464,20th century traditional figure,train
edgardegas622,20th century traditional figure,train
arnoldbocklin5,Romanticism open view,train
edgardegas203,Romanticism figure,train
odilonredonorchids,20th century traditional figure,train
ancientegipt1,African traditional folklore,train
pierrepaulprudhon7,Baroque Classical symbolism,train
vincentvangogh27,Romanticism open view,train
hieronymusbosch116,Renaissance symbolism,train
archibaldmotley4,Modern instrumental music,train
johnduncan7,European traditional folklore,train
bartolomeoveneto19,Renaissance secular subject,train
8f03156437bfbd9202d44c50dd44bb38c,Heavy metal,train
mfhusain28,Asian traditional folklore,train
joanhernandezpijuancomsflorsverdessobrenegre21996,Electronic music,train
giovannidamilano14,Renaissance symbolism,validation
nicholasroerichshewhoholdstheworld1933,20th century traditional figure,train
helenfrankenthalerplaya1950,20th century abstractionism,train
egonschieleseatedgirlfacingfront1911,20th century experimental figure,train
theodorosstamosconeyisland1945,20th century abstractionism,train
benjaminwest33,Baroque Classical symbolism,train
roylichtenstein21,Electronic music,train
norvalmorrisseau22,American traditional folklore,train
pietrolonghithecharlatan1757,Baroque Classical secular subject,train
albrechtduerer254,Renaissance secular subject,train
georgiaokeefee5,20th century experimental open view,train
edouardmanet41,Romanticism figure,train
thomasgainsboroughfigureswithcattleinalandscape,Baroque Classical secular subject,validation
d217a7d80d42c1dc2a0bec13401ffc73c,Electronic music,train
edgardegas296,Romanticism figure,train
caravaggio21,Baroque Classical symbolism,train
hiroshige15,Asian traditional folklore,train
vasiliykandinskiy16,20th century abstractionism,train
pablopicasso332,20th century traditional figure,train
pablopicasso32,20th century experimental figure,train
ernstludwigkirchnerrussianwoman,20th century experimental figure,train
pietmondrian69,20th century traditional figure,train
yvestanguy2,20th century experimental open view,train
cb912f1e10cdee4bc0e98903f4e6c83ac,Heavy metal,validation
aldemirmartins12,Modern instrumental music,validation
edgardegas160,20th century traditional figure,train
luchitahurtado3,American traditional folklore,train
robertindiana5,Electronic music,train
edgardegas685,Romanticism figure,train
bartolomeestebanmurillothomasofvillanovagivingalmstothepoors1678,Baroque Classical symbolism,train
vincentvangogh389,Romanticism figure,validation
toddschorr4,Heavy metal,validation
gustavklimt1,20th century traditional open view,train
giovannidomenicotiepolo51,Baroque Classical secular subject,train
vincentvangogh720,Romanticism figure,test
amritashergil11,Asian traditional folklore,train
nicholasroerichlakeinthemountains,20th century traditional open view,train
raphaelkirchnergirlswithpurplesurrounds19005,20th century experimental figure,train
antoineblanchardparislesbouquinistes,20th century traditional open view,train
franciscogoya50,Romanticism figure,train
jorgecamacho7,American traditional folklore,train
claesoldenburgcupidsspancollaborationwithvanbruggen2002,Electronic music,train
henrimatissethecircus1947,20th century abstractionism,train
franciscogoya1,Romanticism figure,train
pablopicasso186,20th century experimental figure,train
masaccioportraitofayoungman1425,Renaissance secular subject,train
albrechtduerer194,Renaissance secular subject,train
childehassamsceneattheworldscolumbianexpositionchicagoillinois,20th century traditional open view,train
nicholasroerichabirdwithspreadwings,20th century experimental figure,train
martirossaryanportraitofgayfejyan,20th century traditional figure,validation
889155cba9ab4c74f98f12e52a161287c,Modern instrumental music,train
jaroslavkeluc4,20th century traditional open view,train
hieronymusbosch65,Renaissance symbolism,train
xulsolar45,American traditional folklore,train
pierreaugusterenoir295,20th century traditional open view,train
pieterbruegel19,Renaissance secular subject,train
juliemehretu11,Electronic music,train
richarddiebenkornberkeleyno59,20th century abstractionism,train
roylichtenstein24,Electronic music,train
josemariavelasco3,20th century traditional open view,train
walterbattiss6,African traditional folklore,validation
sandrobotticelli20,Renaissance symbolism,train
untitled,Electronic music,train
paulgauguin217,20th century experimental figure,train
pompeobatoni13,Baroque Classical symbolism,train
toddschorr10,Heavy metal,train
robertmorrisuntitled1968,Electronic music,train
mikhailvrubel86,20th century experimental open view,train
giovanni_nino_costa12,European traditional folklore,train
pietmondrian38,20th century abstractionism,test
0bb3e53b70a679b7cca39757f0321ccdc,Electronic music,train
lucianfreudfrancescostelloe1,20th century traditional figure,train
martinwongetal19,Electronic music,train
williamhamilton1,Baroque Classical symbolism,train
paulcezanne40,20th century traditional figure,test
nicolastournierchristcarryingthecross1632,Baroque Classical symbolism,train
marcchagall116,European traditional folklore,train
103f0ad50d3bee4c33721865f9a579e4c,Heavy metal,train
alfredsisley74,Romanticism open view,train
pablopicasso359,20th century traditional figure,train
nicholasroerichfirepaternoster1907,20th century experimental open view,test
giorgione4,Renaissance secular subject,train
edgardegas473,Romanticism figure,train
pyotrkonchalovskyvillagepond1933,20th century experimental open view,train
franzmarc9,20th century experimental figure,train
henrimatisse39,20th century experimental open view,train
paulinebotyitsamansworldii1965,Electronic music,validation
pablopicasso187,20th century traditional figure,test
ancientegipt50,African traditional folklore,train
davidburliukteatimeselfportraitwithraphaelsawyer1947,European traditional folklore,validation
mostafadashtiuntitled20071,20th century abstractionism,test
vasiliykandinskiy18,20th century abstractionism,train
pablopicasso203,20th century traditional figure,train
aztecart79,American traditional folklore,train
andywarhol115,Electronic music,train
arturorivera8,American traditional folklore,train
rashidalkalifa5,Asian traditional folklore,train
sonalygandhi6,Asian traditional folklore,train
yveskleinuntitledbluemonochrome19592,Electronic music,train
irmastern12,African traditional folklore,train
c73f180a3580dd8625eb4a747896b937c,Heavy metal,train
bricemardensuicidenote1973,20th century abstractionism,train
edgardegas289,Romanticism figure,train
mfhusain10,Asian traditional folklore,train
sandrobotticelli17,Renaissance symbolism,train
designforanexteriormuraldetail19771,Electronic music,train
ff66c237212d7c6893bda62faa15ec90c,Heavy metal,train
648dc0408d134c09174ed33a6dcb899ec,Heavy metal,train
mariaprimachenkoafishkinghascaughtahoopoeandisfullofjoy1983,European traditional folklore,train
paulgauguin20,20th century traditional open view,train
edouardmanet74,Romanticism figure,train
michela_de_vito5,European traditional folklore,train
estebanvicenteritmico1995,20th century abstractionism,train
alicerahon2,American traditional folklore,train
5b007e0c8fbc5f7d1372289ea78ddc1fc,Modern instrumental music,train
jansteenavillagewedding1653,Baroque Classical secular subject,train
mariannevonwerefkin28,European traditional folklore,train
richardhamilton18,Electronic music,train
hieronymusbosch124,Renaissance symbolism,train
nicholasroerichissaandgiantshead19323,20th century experimental open view,validation
titian266,Renaissance secular subject,train
tomwesselmanetal4,Electronic music,train
angeloingannietal14,European traditional folklore,train
bricemardenmusesandmeresseriesrichardsmuse2001,20th century abstractionism,train
vincentvangogh427,Romanticism figure,train
arnoldbocklin13,Romanticism figure,train
jeanmichelbasquiat72,Modern instrumental music,train
jaydefeocabbagerose1975,20th century abstractionism,train
jeanmichelbasquiat120,Modern instrumental music,train
beauforddelaney13,Modern instrumental music,train
julesbreton6,20th century traditional open view,train
vincentvangogh78,Romanticism open view,train
paulcezanne39,20th century experimental open view,train
davidalfarosiqueiros2,Modern instrumental music,train
vincentvangogh118,Romanticism open view,train
nicholasroerichboundaryofkingdoms1916,20th century traditional open view,train
raullozza15,20th century abstractionism,train
salvadordali6,20th century experimental open view,test
hieronymusbosch39,Renaissance symbolism,train
pablopicasso228,20th century experimental figure,train
audreyflackinvocation1982,Electronic music,train
fridakahlo29,Modern instrumental music,validation
henrimatissebluenudes,20th century abstractionism,train
theodorphilipsen6,20th century traditional open view,train
salvadordali102,20th century abstractionism,train
pablopicasso261,20th century traditional figure,train
pietrolorenzetti1,Renaissance symbolism,train
utagawakuniyoshihominggeeseatthenortherncapital,Asian traditional folklore,train
mikhailvrubel23,20th century experimental figure,train
thomasgainsboroughthewoodsman1788,Baroque Classical secular subject,train
lenainbrotherstherestoftherider,Baroque Classical secular subject,test
raphael16,Renaissance symbolism,validation
0f73e831edf873eec07acd9950e4add6c,Heavy metal,train
zdzislawbeksinski126,Heavy metal,train
edgardegas668,20th century traditional figure,train
fayumportrait32,African traditional folklore,test
johnatkinsongrimshawthesereandyellowleaf,Romanticism open view,test
roylichtenstein14,Electronic music,train
nicholasroerichmorningstar1932,20th century traditional open view,train
kittelsen12,European traditional folklore,train
joseclementeorozco24,American traditional folklore,train
gustavklimt54,20th century experimental open view,validation
josephfarquharson4,20th century traditional open view,train
titian163,Renaissance symbolism,train
ivanaivazovskysunsetatsea1878,Romanticism open view,train
pieterbruegel120,Renaissance secular subject,test
021b726208c1864de8e0a57863c1cc0fc,African traditional folklore,train
leonardodavinci145,Renaissance secular subject,test
zainulabedin2,Asian traditional folklore,train
albrechtduerer97,Renaissance secular subject,train
lorenzolotto25,Renaissance secular subject,validation
diegovelazquez73,Baroque Classical secular subject,train
fayumportrait41,African traditional folklore,train
twinssevenseven15,Asian traditional folklore,validation
georgiaokeefee63,20th century experimental open view,train
mikhailvrubel45,20th century experimental figure,train
pablopicasso68,20th century experimental open view,train
hiroyamagatanotdetected272402,Electronic music,train
nzantespee7,African traditional folklore,train
angelicakauffman19,Baroque Classical symbolism,train
paulgauguin197,20th century traditional open view,train
aztecart43,American traditional folklore,train
claudemonet59,20th century traditional figure,train
rembrandt164,Baroque Classical symbolism,train
raphaelkirchnergirlswithpurplesurrounds19006,20th century experimental figure,train
bc1622e1b0bd19b4f74a2ad90bea0e87c,Heavy metal,train
gerardterborchmessenger,Baroque Classical secular subject,train
anthonyvandyckportraitofthethreeeldestchildrenofcharlesi,Baroque Classical secular subject,test
vincentvangogh96,Romanticism figure,train
guanxiu14,Asian traditional folklore,train
franssnydersstilllifewithfruitbasketandgame,Baroque Classical secular subject,train
francescomelzi2,Renaissance secular subject,train
kazimirmalevich108,20th century experimental open view,validation
michelangelo38,Renaissance symbolism,validation
davidalfaro_siqueiros35,American traditional folklore,train
roylichtenstein3,Electronic music,train
richarddiebenkorn5,Modern instrumental music,train
jacqueslouisdavid52,Baroque Classical secular subject,train
5ec9b4441f4ddf4a057bbf83296a8d73c,Heavy metal,train
childehassamsunriseautumn,20th century traditional open view,test
johnatkinsongrimshawmoonlight1882,Romanticism open view,train
4d4eb1c72553cd97c12804667d3087f1c,African traditional folklore,train
vincentvangogh438,Romanticism figure,train
thomashartbenton9,Modern instrumental music,train
leonardodavinci70,Renaissance secular subject,train
alantellez12,American traditional folklore,validation
davidalfaro_siqueiros30,American traditional folklore,train
aztecart70,American traditional folklore,validation
edouardmanet73,Romanticism figure,train
walterbattiss76,African traditional folklore,train
albrechtduerer210,Renaissance symbolism,train
anitamalfatti3,American traditional folklore,train
returnofthewarparty1914jpglarge,American traditional folklore,test
pablopicasso253,20th century experimental figure,train
raphael72,Renaissance symbolism,test
richarddiebenkornurbanano4,20th century abstractionism,train
mahmoudsaiid15,African traditional folklore,train
claudiocoello9,Baroque Classical symbolism,train
titian259,Renaissance secular subject,validation
290865c0b14a16519a16e3ca5e66bb58c,Heavy metal,train
odilonredonsaintsebastian1,20th century traditional figure,train
paulcezanne8,20th century traditional figure,train
rodolfoamoedo1,American traditional folklore,validation
hieronymusbosch110,Renaissance symbolism,validation
aztecart55,American traditional folklore,train
andywarhol125,Electronic music,train
pieterbruegel124,Renaissance secular subject,train
juanbautistamaino15,Baroque Classical symbolism,train
4f9ab5690bc8871fb6690bcc707b328ac,European traditional folklore,train
robertmangoldcolumnpainting162004,Electronic music,train
peterpaulrubens113,Baroque Classical symbolism,train
itojakuchu10,Asian traditional folklore,train
lametal6,American traditional folklore,test
pierreaugusterenoir204,20th century traditional figure,train
marinapallares10,American traditional folklore,train
konstantinvasilyev41,Heavy metal,train
helenfrankenthalermarymary1987,20th century abstractionism,train
childehassamisleofshoals6,20th century traditional open view,train
ernstludwigkirchnerrecliningnudeinabathtubwithpulledonlegs,20th century experimental figure,train
ivanaivazovskythebetrayalofjudas1834,Romanticism open view,train
rembrandt16,Baroque Classical symbolism,train
candidoportinari16,American traditional folklore,validation
joepetagnoetal2,Heavy metal,test
mikhailvrubel155,20th century experimental figure,train
bridgetriley27,Electronic music,train
artemisiagentileschianallegoryofpeaceandtheartsundertheenglishcrown1638,Baroque Classical symbolism,train
jeanbaptistesimeonchardin14,Baroque Classical secular subject,validation
francescoribalta18,Baroque Classical symbolism,train
yovkondzelevych9,Baroque Classical symbolism,validation
carllarson12,European traditional folklore,train
camillepissarro64,20th century traditional open view,test
pierreaugusterenoir157,20th century traditional figure,train
esaiasvandeveldewinterlandscape1623,Baroque Classical secular subject,train
eef973c4aed973f1265b89e6d2a1399ec,African traditional folklore,train
josemariavelasco7,20th century traditional open view,train
d9768cb11eafc440454a27b46cf4b219c,Electronic music,train
titian80,Renaissance symbolism,train
perlefinethebigsplashakatantrumi1959,20th century abstractionism,train
ernstludwigkirchnerartistbeggingforapplause,20th century experimental figure,test
laolusenbanjo14,African traditional folklore,train
72da6b3543bc563ed9232fdd95cf70dfc,Modern instrumental music,train
yvestanguy13,20th century experimental open view,train
marcchagall98,European traditional folklore,train
neilwelliver10,20th century traditional open view,train
rembrandt6,Baroque Classical symbolism,train
101296ab,Asian traditional folklore,validation
alfredsisley222,Romanticism open view,train
fernandobotero7,Modern instrumental music,test
franshalsboyplayingaviolin,Baroque Classical secular subject,train
jansteensupperatemmaus1668,Baroque Classical symbolism,test
jacobjordaenschristonacross1622,Baroque Classical symbolism,train
guidorenitherapeofeuropa1639,Baroque Classical symbolism,train
paulcezanne13,20th century traditional figure,train
aedf621cf48cc80e8fc28a2f0a77b8e8c,Heavy metal,test
mestreataudeassunodavirgemdetail1823,Baroque Classical symbolism,train
pietmondrian30,20th century traditional open view,train
mikhailvrubel40,20th century traditional figure,train
raphael98,Renaissance secular subject,train
vermeer28,Baroque Classical secular subject,validation
raphael43,Renaissance secular subject,train
teofilocastillo1,Modern instrumental music,train
henridetoulouselautrec47,20th century traditional figure,train
camillepissarro29,20th century traditional open view,train
diegorivera62,Modern instrumental music,train
alfredsisley148,Romanticism open view,validation
andreadelsarto5,Renaissance secular subject,train
giovannidamilano3,Renaissance symbolism,test
renemagritte20,20th century experimental figure,train
nikopirosmanibridgegraftvirishidy,European traditional folklore,train
paulgauguin211,20th century experimental open view,train
e97a2735400eb0905876e8e5cc1dd301c,Heavy metal,train
kazimirmalevich27,20th century traditional figure,train
pierreaugusterenoir190,20th century traditional open view,train
theodoregericault4,Romanticism figure,train
5f7bbe79f7a98194a01fd686fd0456f1c,Modern instrumental music,train
e13ac5bfee7b0c201417cb4d15d58580c,Heavy metal,train
edouardmanet5,Romanticism figure,test
theodorphilipsen13,20th century traditional open view,train
ernstludwigkirchnerpainterandmodell,20th century experimental figure,validation
johnmccrackenuntitled1983,20th century abstractionism,train
georgepemba43,African traditional folklore,train
utagawakuniyoshiraikotormentedbytheearthspider,Asian traditional folklore,train
cytwomblytherosev,20th century abstractionism,train
augustnatterer9,European traditional folklore,train
egonschielefieldofflowers1910,20th century traditional open view,train
candidoportinari16_2,Modern instrumental music,train
duccio16,Renaissance symbolism,train
e4499a75a97b76da61bf8ac043e24f37c,Heavy metal,train
joshuareynoldskittyfisher1764,Baroque Classical secular subject,validation
joseguadalupeposada3,American traditional folklore,train
paulklee172,20th century abstractionism,train
sebastianodelpiombo22,Renaissance secular subject,train
nicholasroerichtibet1,20th century traditional open view,validation
lynetteyadomboakyeetal6,African traditional folklore,train
pablopicasso205,20th century traditional figure,train
alaaawad12,African traditional folklore,test
kazimirmalevich70,20th century experimental figure,train
l_s_lowry17,European traditional folklore,train
caravaggio3,Baroque Classical symbolism,train
jeanmichelbasquiat10,Modern instrumental music,test
fridakahlo76,Modern instrumental music,train
vincentvangogh774,Romanticism open view,train
henrimatisse142,20th century experimental figure,train
juanbautistamaino16,Baroque Classical symbolism,test
gerardfromangerauprintemps,Electronic music,validation
hiroyamagatajudo,Electronic music,train
amedeomodigliani43,20th century experimental figure,train
judychicagopasadenalifesaversredseries21970,Electronic music,train
janvaneyck50,Renaissance symbolism,train
chaibiatalal8,African traditional folklore,train
marcchagall97,European traditional folklore,train
d9aec8104730fc64e797758740788295c,Heavy metal,train
samfranciscoralmarine1973,20th century abstractionism,train
jeanmichelbasquiat117,Modern instrumental music,validation
utagawakuniyoshitheactor19,Asian traditional folklore,train
lucianfreudfinalportrait1977,20th century traditional figure,train
kootenaicamponswanlakeunfinished1926jpglarge,American traditional folklore,train
davidhockneyetal8,Modern instrumental music,train
katsushikahokusai29,Asian traditional folklore,train
vincentvangogh204,Romanticism open view,train
franciscogoya161,Romanticism figure,train
edrepkaetal8,Heavy metal,train
hieronymusbosch14,Renaissance symbolism,train
vincentvangogh50,Romanticism open view,train
carlosquizpezasin2,American traditional folklore,train
renemagritte26,20th century experimental figure,train
mfhusain6,Asian traditional folklore,train
vincentvangogh35,Romanticism open view,train
gerritdouwomaninablackveil,Baroque Classical secular subject,test
nicholasroerichorderofrigdenjyepo1927,20th century experimental open view,train
2a29ebd6082512e191e9d553d06ae43dc,European traditional folklore,train
leonbakstthefirebird1910,20th century experimental figure,train
paulgauguin102,20th century experimental figure,validation
pablopicasso291,20th century abstractionism,train
nikosengonopoulos1,European traditional folklore,train
marktobeyilluminatedplane1958,20th century abstractionism,train
elisabettasirani6,Baroque Classical symbolism,train
miguelriobranco5,American traditional folklore,validation
beauforddelaney23,Modern instrumental music,train
ramonoviedo17,American traditional folklore,validation
thomasgainsboroughmrsmaryrobinsonperdita1781,Baroque Classical secular subject,train
paulgauguin13,20th century traditional open view,train
francescoguardithegrandcanalwithsantaluciaandthescalzi,Baroque Classical secular subject,train
721b0137d9177cca8abfb7e883965ebfc,Heavy metal,train
hasselsmithuntitled1987,20th century abstractionism,train
henrimatisse69,20th century experimental figure,train
